ARG_Name,MGE_Name,MGE_Group_Name,Patient_ID,Label
MODA,gene:proph:161578,prophage,32,PreFMT & PostFMT Only
MODA,gene:proph:161580,prophage,32,PreFMT & PostFMT Only
MODA,gene:proph:161581,prophage,32,PreFMT & PostFMT Only
MODA,gene:proph:175234,likely IS/TE,32,PreFMT & PostFMT Only
MODA,gene:proph:179392,prophage,32,PreFMT & PostFMT Only
MODA,gene:proph:179396,prophage,32,PreFMT & PostFMT Only
MODA,gene:proph:182947,prophage,32,PreFMT & PostFMT Only
MODA,gene:proph:182948,prophage,32,PreFMT & PostFMT Only
MODA,gene:proph:182949,prophage,32,PreFMT & PostFMT Only
MODA,gene:proph:182973,prophage,32,PreFMT & PostFMT Only
MODA,gene:proph:182979,prophage,32,PreFMT & PostFMT Only
MODA,gene:proph:182981,prophage,32,PreFMT & PostFMT Only
MODA,gene:proph:182982,prophage,32,PreFMT & PostFMT Only
MODA,gene:proph:182983,prophage,32,PreFMT & PostFMT Only
MODA,gene:proph:182984,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:163818,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:172516,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:172517,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:172518,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:172519,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:172520,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:172521,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:172522,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:172523,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:172524,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:173748,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:175031,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176039,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176040,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176073,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176074,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176753,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176757,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176758,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176763,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176764,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176765,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176768,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176772,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176778,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176779,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176780,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176786,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176788,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176790,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176791,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176793,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176797,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176813,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:176814,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:179418,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:179420,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:179426,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:179433,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:181166,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:181168,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:181174,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:181177,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:181180,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:181182,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:181193,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:181194,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:181195,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:181197,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:181203,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:181206,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:181209,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:181211,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:181212,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:181213,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:181225,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:182959,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:183003,prophage,32,PreFMT & PostFMT Only
NFSA,gene:proph:184574,prophage,32,PreFMT & PostFMT Only
NFSA,gene:vir:10232,virus,32,PreFMT & PostFMT Only
NFSA,gene:vir:108544,virus,32,PreFMT & PostFMT Only
NFSA,gene:vir:1915,virus,32,PreFMT & PostFMT Only
NFSA,gene:vir:95339,virus,32,PreFMT & PostFMT Only
NHAA,gene:plasmid:16111,likely IS/TE,32,PreFMT & PostFMT Only
NHAA,gene:proph:181243,prophage,32,PreFMT & PostFMT Only
PSTS,gene:proph:176869,prophage,32,PreFMT & PostFMT Only
TEM,gene:plasmid:119647,plasmid,32,PreFMT & PostFMT Only
TEM,gene:plasmid:119649,plasmid,32,PreFMT & PostFMT Only
TEM,gene:plasmid:123182,plasmid,32,PreFMT & PostFMT Only
TEM,gene:plasmid:15979,plasmid,32,PreFMT & PostFMT Only
TEM,gene:plasmid:19728,plasmid,32,PreFMT & PostFMT Only
TETB,gene:plasmid:119652,likely IS/TE,32,PreFMT & PostFMT Only
TETB,gene:plasmid:119653,plasmid,32,PreFMT & PostFMT Only
